id, Latitude, Longitude, Listed, 
3, -6.28817177, 53.3471375, 2, 
4, -6.53211212, 53.3391113, 2, 
5, -6.78452396, 53.1857834, 2, 
8, -7.11426783, 52.2371483, 2, 
9, -7.12599802, 52.2505455, 2, 
10, -7.14598179, 52.2544937, 2, 
11, -7.109272, 52.2616158, 2, 
13, -7.13783598, 52.2450447, 2, 
14, -7.13870478, 52.2611618, 2, 
16, -7.1420722, 52.2561111, 2, 
20, -6.26199579, 53.3468781, 2, 
21, -6.33422279, 53.3292084, 2, 
23, -6.26373386, 53.3459053, 2, 
26, -6.74346924, 53.2046814, 2, 
28, -6.66483498, 53.2160721, 2, 
29, -7.07940388, 52.24757, 2, 
32, -7.11274719, 52.262455, 2, 
43, -7.1105752, 52.2618752, 2, 
44, -7.15206385, 52.2434273, 2, 
45, -6.32042885, 53.3393707, 2, 
46, -6.3473649, 53.3257141, 2, 
48, -6.78821707, 53.2672691, 2, 
50, -7.13870478, 52.2611618, 2, 
53, -6.35316801, 53.3423424, 2, 
54, -6.22412682, 53.3971977, 2, 
56, -6.10707092, 53.1952553, 2, 
58, -6.20781422, 53.2753, 2, 
61, -6.23625, 53.3078651, 2, 
62, -6.26425505, 53.2922058, 2, 
63, -6.12536716, 53.2542877, 2, 
72, -6.34548616, 53.3306885, 2, 
73, -6.40027618, 53.3565598, 2, 
74, -6.379426, 53.3453712, 2, 
75, -6.10115099, 53.2039566, 2, 
78, -6.24051619, 53.4268265, 2, 
80, -6.18132782, 53.2541656, 2, 
81, -6.42627, 53.2896118, 2, 
83, -6.23005486, 53.3078575, 2, 
84, -6.36018896, 53.2839241, 2, 
85, -6.42744923, 53.3525162, 2, 
88, -6.39866, 53.2771721, 2, 
90, -6.38454294, 53.2832603, 2, 
92, -6.29958105, 53.3901405, 2, 
93, -6.17038298, 53.2968826, 2, 
95, -6.20395, 53.2742538, 2, 
98, -6.21696377, 53.2762222, 2, 
99, -6.37907791, 53.3579369, 2, 
101, -6.30996, 53.2931328, 2, 
102, -6.133111, 53.2550354, 2, 
103, -6.39098787, 53.315567, 2, 
104, -6.06387281, 53.145153, 2, 
105, -6.09225416, 53.1711159, 2, 
106, -6.14120579, 53.2439804, 2, 
108, -6.22582483, 53.2931099, 2, 
109, -6.29962206, 53.3901367, 2, 
110, -6.2044282, 53.4486237, 2, 
113, -6.38433123, 53.4156456, 2, 
114, -6.21863699, 53.4552536, 2, 
115, -6.24772787, 53.2936668, 2, 
116, -6.17024422, 53.5182037, 2, 
118, -6.17787123, 53.253109, 2, 
119, -6.32683182, 53.2877808, 2, 
123, -6.34819603, 53.3395, 2, 
124, -6.38837385, 53.3475494, 2, 
125, -6.31319189, 53.2912712, 2, 
126, -6.39010477, 53.3485489, 2, 
128, -6.4314642, 53.3315125, 2, 
129, -6.11010504, 53.2022896, 2, 
130, -6.20646715, 53.3923416, 2, 
131, -6.19460106, 53.2399864, 2, 
132, -6.12413597, 53.2297516, 2, 
135, -6.31887579, 53.3219261, 2, 
136, -6.13628292, 53.2669601, 2, 
137, -6.27653408, 53.3996391, 2, 
141, -6.39077806, 53.3947754, 2, 
142, -6.38688803, 53.3562202, 2, 
144, -6.395823, 53.3280258, 2, 
149, -6.28196383, 53.2950668, 2, 
152, -6.50009298, 53.2985077, 2, 
153, -6.21813917, 53.3033867, 2, 
154, -6.37361479, 53.3006668, 2, 
155, -6.42191505, 53.2864494, 2, 
158, -6.39885807, 53.3422585, 2, 
159, -6.36457777, 53.3819199, 2, 
160, -6.39765406, 53.4068527, 2, 
162, -6.4005909, 53.3896675, 2, 
163, -6.29185104, 53.395607, 2, 
167, -6.14444494, 53.2836266, 2, 
168, -6.34443283, 53.3291893, 2, 
170, -6.10898685, 53.203476, 2, 
171, -6.15432405, 53.1904411, 2, 
174, -6.50008297, 53.298584, 2, 
178, -6.37344503, 53.286129, 2, 
179, -6.13109, 53.4458351, 2, 
181, -6.27939081, 53.4018517, 2, 
182, -6.3169179, 53.3163452, 2, 
